Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar,Release_year,cluster_tfidf_first,cluster_tfidf_second,cluster_lda_major_first,cluster_lda_major_second,cluster_lda_major_second_finer
Deuce Bigalow: European Gigolo,Michael Bigelow,John Schneider,Sony Pictures,Marc Felperlaan,Rob Schneider,Eddie Griffin,Jeroen Krabbe,Til Schweiger,Douglas Sills,Comedy,2005,3.0,22264487.0,22000000.0,22000000.0,,,,,,22873310.0,1,2005,3,14,21,18,2
Diary of a Mad Black Woman,Darren Grant,Tyler Perry,Lionsgate,David Claessen,Kimberly Elise,Steve Harris,Shemar Moore,Tamara Taylor,Lisa Marcos,Romantic Comedy,2005,1.0,50382128.0,5400000.0,5500000.0,Native-born,North America (US),US,Male,,52010.0,0,2005,13,3,6,6,2
Dirty Love,John Mallory Asher,Kimberly Kates,DEJ Productions,Eric Wycoff,Jenny McCarthy,Joel David Moore,Victor Webster,Lochlyn Munro,Paul Dooley,Romantic Comedy,2005,3.0,,5000000.0,,Native-born,North America (US),US,Male,Caucasian,,0,2005,21,5,8,18,9
Dominion: Prequel to the Exorcist,Paul Schrader,James G. Robinson,Warner Bros.,Vittorio Storaro,,,,,,Horror,2005,2.0,236901.0,45000000.0,,Native-born,North America (US),US,Male,Caucasian,,0,2005,16,20,6,18,2
Domino,Tony Scott,Tony Scott,New Line Cinema,Dan Mindel,Keira Knightley,Mickey Rourke,Édgar Ramírez,Riz Abbasi,Christopher Walken,Action,2005,4.0,10137232.0,50000000.0,,Foreign-born,,,,,,1,2005,13,18,6,15,2
Doom,Andrzej Bartkowiak,John Wells,Universal,,Dwayne Johnson,Karl Urban,Rosamund Pike,Razaaq Adoti,Deobia Oparei,Action,2005,4.0,28031250.0,60000000.0,,Foreign-born,Europe,Poland,Male,Caucasian,,1,2005,2,7,8,7,42
Duma,Carroll Ballard,John Wells,Warner Bros.,Werner Maritz,Hope Davis,Campbell Scott,Alex Michaeletos,Mary Makhatho,Nthabiseng Kenoshi,Adventure,2005,3.0,860002.0,12000000.0,,Native-born,North America (US),US,,,,0,2005,4,11,18,18,37
Elizabethtown,Cameron Crowe,Tom Cruise,Paramount Pictures,John Toll,Orlando Bloom,Kirsten Dunst,Susan Sarandon,Alec Baldwin,Bruce McGill,Comedy,2005,4.0,26838389.0,54000000.0,54000000.0,Native-born,North America (US),US,Male,Caucasian,23868947.0,1,2005,4,11,17,18,7
Everything Is Illuminated,Liev Schreiber,Marc Turtletaub,,Matthew J. Libatique,Elijah Wood,Eugene Hutz,Boris Leskin,Laryssa Lauret,Jana Hrabetova,Drama,2005,3.0,1705595.0,7000000.0,,,,,,,,1,2005,6,4,4,5,35
Fantastic Four,Tim Story,Avi Arad,20th Century Fox,Oliver Wood,Ioan Gruffudd,Jessica Alba,Chris Evans,Michael Chiklis,Julian McMahon,Action,2005,3.0,154695366.0,90000000.0,87500000.0,Native-born,North America (US),US,Male,Black or African American,178436670.0,1,2005,19,13,21,7,4
Fever Pitch,Bobby Farrelly,Alan Greenspan,20th Century Fox,Matthew Leonetti,Drew Barrymore,Jimmy Fallon,Jason Spevack,Jack Kehler,Scott H Severance,Romantic Comedy,2005,2.0,42071069.0,32000000.0,40000000.0,Native-born,North America (US),US,,,8000000.0,1,2005,10,17,4,18,2
Flightplan,Robert Schwentke,Brian Grazer,Walt Disney,Florian Ballhaus,Jodie Foster,Peter Sarsgaard,Sean Bean,Kate Beahan,Michael Irby,Action,2005,3.0,89706988.0,55000000.0,55000000.0,Foreign-born,Europe,Germany,Male,Caucasian,124685916.0,1,2005,19,4,6,18,2
Four Brothers,John Singleton,Lorenzo Di Bonaventura,Paramount Pictures,Peter Menzies Jr.,Mark Wahlberg,André Benjamin,Tyrese Gibson,Garrett Hedlund,Sofia Vergara,Action,2005,3.0,74484168.0,45000000.0,30000000.0,Native-born,North America (US),US,,,18000000.0,1,2005,20,2,5,18,2
Get Rich or Die Tryin',Jim Sheridan,Jimmy Iovine,Paramount Pictures,Declan Quinn,50 Cent,Adewale Akinnuoye-Agbaje,Joy Bryant,Omar Benson Miller,Tory Kittles,Drama,2005,4.0,30981850.0,40000000.0,40000000.0,Foreign-born,Europe,Ireland,Male,Caucasian,15685105.0,0,2005,16,9,13,18,2
Guess Who,Kevin Rodney Sullivan,Jenno Topping,Sony Pictures,Karl Walter Lindenlaub,Bernie Mac,Ashton Kutcher,Zoe Saldana,Judith Scott,Hal Williams,Romantic Comedy,2005,1.0,67962333.0,40000000.0,35000000.0,,,,,,33200000.0,1,2005,4,0,11,15,32
Harry Potter and the Goblet of Fire,Mike Newell,David Heyman,Warner Bros.,Roger Pratt,,,,,,Fantasy,2005,4.0,289994397.0,130000000.0,150000000.0,Foreign-born,Europe,United Kingdom,Male,,606898042.0,0,2005,6,20,16,18,2
Her Minor Thing,Charles Matthau,Jim Meyers,,John J Connor,Estella Warren,Michael Weatherly,Christian Kane,David DeLuise,Rachel Dratch,Romantic Comedy,2005,,,,,Native-born,North America (US),US,,,,0,2005,3,14,17,13,38
Herbie: Fully Loaded,Angela Robinson,Robert Simonds,Walt Disney,Greg Gardiner,Lindsay Lohan,Michael Keaton,Matt Dillon,Breckin Meyer,Justin Long,Comedy,2005,2.0,66002004.0,50000000.0,50000000.0,Native-born,North America (US),US,Female,,78100000.0,1,2005,22,19,16,18,2
Hitch,Andy Tennant,James Lassiter,Sony Pictures,Andrew Dunn,Will Smith,Eva Mendes,Kevin James,Amber Valletta,Julie Ann Emery,Romantic Comedy,2005,1.0,177575142.0,70000000.0,55000000.0,Native-born,North America (US),US,Male,Caucasian,189000000.0,1,2005,10,0,9,11,37
House of D,David Duchovny,Richard Barton Lewis,Lionsgate,Michael Chapman,Anton Yelchin,Téa Leoni,David Duchovny,Robin Williams,Erykah Badu,Comedy,2005,2.0,371081.0,7000000.0,2000000.0,Native-born,North America (US),US,,,77574.0,1,2005,15,16,4,18,2
House of Wax,Jaume Collet-Serra,Joel Silver,Warner Bros.,Stephen F. Windon),Elisha Cuthbert,Chad Michael Murray,Brian Van Holt,Paris Hilton,Jared Padalecki,Horror,2005,2.0,32048809.0,35000000.0,,Foreign-born,Europe,Spain,Male,,,0,2005,22,4,6,18,18
Hustle & Flow,Craig Brewer,Stephanie Allain,Paramount Pictures,Amy Vincent,Terrence Howard,Anthony Anderson,Taryn Manning,Taraji P. Henson,D.J. Qualls,Drama,2005,3.0,22201636.0,2800000.0,2800000.0,Native-born,North America (US),US,Male,Caucasian,1388974.0,1,2005,9,7,11,18,26
Ice Princess,Tim Fywell,Bridget Johnson,Walt Disney,David Hennings,Joan Cusack,Kim Cattrall,Michelle Trachtenberg,Hayden Panettiere,Trevor Blumas,Drama,2005,1.0,24381334.0,20000000.0,25000000.0,Foreign-born,,,,,1351000.0,1,2005,15,9,1,18,26
In Her Shoes,Curtis Hanson,Ridley Scott,20th Century Fox,Terry Stacey,Cameron Diaz,Toni Collette,Shirley MacLaine,Mark Feuerstein,Ken Howard,Comedy,2005,4.0,32880591.0,28000000.0,,Native-born,North America (US),US,,,49322439.0,1,2005,10,3,6,18,29
In the Mix,Ron Underwood,John Dellaverson,Lionsgate,Clark Mathis,Usher,Chazz Palminteri,Emmanuelle Chriqui,Anthony Fazio,Matt Gerald,Comedy,2005,4.0,10220823.0,15000000.0,,Native-born,North America (US),US,,,,1,2005,21,5,19,5,29
Into the Blue,John Stockwell,David Zelon,Sony Pictures,Shane Hurlbut),Paul Walker,Jessica Alba,Scott Caan,Ashley Scott,Josh Brolin,Action,2005,3.0,18472363.0,50000000.0,50000000.0,Native-born,North America (US),US,Male,Caucasian,23200000.0,1,2005,6,3,9,10,2
Jarhead,Sam Mendes,Douglas Wick,Universal,Roger Deakins,Jake Gyllenhaal,Jamie Foxx,Peter Sarsgaard,Lucas Black,Brian Geraghty,Adaptation,2005,4.0,62647540.0,60000000.0,72000000.0,Foreign-born,Europe,United Kingdom,Male,Caucasian,34300000.0,1,2005,2,13,13,18,2
Junebug,Phil Morrison,Mindy Goldberg,Sony Pictures,Peter Donahue,Amy Adams,Embeth Davidtz,Benjamin McKenzie,Alessandro Nivola,Celia Weston,Drama,2005,3.0,2678010.0,1000000.0,1000000.0,,,,,,875243.0,1,2005,12,22,6,18,33
Just Like Heaven,Mark Waters,Walter F. Parkes,Dreamworks SKG,Daryn Okada,Reese Witherspoon,Mark Ruffalo,Donal Logue,Dina Waters,Ben Shenkman,Romance,2005,3.0,48291624.0,58000000.0,58000000.0,Native-born,North America (US),US,Male,Caucasian,52368953.0,1,2005,0,17,6,18,29
Kids in America,Josh Stolberg,Andrew Shaifer,Slowhand Cinema,Guy Livneh,George Wendt,Rosanna Arquette,W. Earl Brown,Andrew Shaifer,Charles Shaughnessy,Comedy,2005,4.0,440228.0,,,,,,,,,0,2005,1,15,22,13,2
King Kong,Peter Jackson,Peter Jackson,Universal,Andrew Lesnie,Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks,Action,2005,4.0,218051260.0,207000000.0,207000000.0,Foreign-born,Oceania,New Zealand,Male,Caucasian,332437332.0,1,2005,6,4,12,18,16
King Kong,Peter Jackson,Peter Jackson,Universal,Andrew Lesnie,Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks,Action,2005,4.0,218051260.0,207000000.0,207000000.0,Foreign-born,Oceania,New Zealand,Male,Caucasian,332437332.0,1,2005,6,4,12,18,16
Kingdom of Heaven,Ridley Scott,Ridley Scott,20th Century Fox,John Mathieson,Orlando Bloom,Eva Green,Jeremy Irons,David Thewlis,Brendan Gleeson),Drama,2005,2.0,47396698.0,140000000.0,110000000.0,Foreign-born,Europe,United Kingdom,Male,Caucasian,171454940.0,1,2005,2,13,13,5,2
King's Ransom,Jeff Byrd,Darryl Taja,New Line Cinema,Robert McLachlan,Donald Faison,Anthony Anderson,Loretta Devine,Kellita Smith,Jay Mohr,Comedy,2005,2.0,4006906.0,15000000.0,25000000.0,Native-born,North America (US),US,,,41000.0,0,2005,13,18,15,18,2
Last Days,Gus Van Sant,Dany Wolf,Picturehouse,Harris Savides,Michael Pitt,Lukas Haas,Asia Argento,Kim Gordon,Nicole Vicius,Drama,2005,3.0,454711.0,3000000.0,,Native-born,North America (US),US,Male,Caucasian,,0,2005,18,10,0,18,16
Lord of War,Andrew Niccol,Philippe Rousselet,Lionsgate,Amir Mokri,Nicolas Cage,Jared Leto,Bridget Moynahan,Ian Holm,Eamonn Walker,Action,2005,3.0,24127895.0,60000000.0,42000000.0,Foreign-born,Oceania,New Zealand,Male,,36288095.0,1,2005,14,20,6,18,2
Lords of Dogtown,Catherine Hardwicke,John Linson,Sony Pictures,Elliot Davis,Heath Ledger,John Robinson,Victor Rasuk,Emile Hirsch,Nikki Reed,Drama,2005,2.0,11008432.0,25000000.0,,Native-born,North America (US),US,Female,Caucasian,,1,2005,10,3,21,18,2
Madagascar,Tom McGrath,Karey Kirkpatrick,Dreamworks SKG,,,,,,,Animated,2005,2.0,193136719.0,120000000.0,75000000.0,Native-born,North America (US),US,Male,Caucasian,362964045.0,0,2005,19,13,6,18,18
Match Point,Woody Allen,Letty Aronson,Dreamworks SKG,,,,,,,Drama,2005,4.0,23089926.0,15000000.0,15000000.0,Native-born,North America (US),US,Male,Caucasian,64883909.0,0,2005,5,6,14,18,2
Me and You and Everyone We Know,Miranda July,Gina Kwon,IFC Films,Chuy Chavez,Miranda July,John Hawkes,Miles Thompson,Brandon Ratcliff,Carlie Westerman,Drama,2005,2.0,3885134.0,1000000.0,2000000.0,,,,,,5730330.0,1,2005,10,0,1,18,2
Memoirs of a Geisha,Rob Marshall,Douglas Wick,Sony Pictures,Dion Beebe,Zhang Ziyi,Ken Watanabe,Michelle Yeoh,Kôji Yakusho,Youki Kudoh,Drama,2005,4.0,57010853.0,85000000.0,85000000.0,Native-born,North America (US),US,Male,Caucasian,104500000.0,1,2005,15,9,18,18,2
Mindhunters,Renny Harlin,Jeffrey Silver,Miramax/Dimension,Robert Gantz,Val Kilmer,L.L. Cool J,Christian Slater,Jonny Lee Miller,Kathryn Morris,Action,2005,2.0,4476235.0,40000000.0,27000000.0,Foreign-born,Europe,Finland,Male,Caucasian,12090000.0,1,2004,9,7,6,18,2
Miss Congeniality 2: Armed and Fabulous,John Pasquin,Sandra Bullock,Warner Bros.,Peter Menzies Jr.,Sandra Bullock,Regina King,Enrique Murciano,William Shatner,Ernie Hudson,Comedy,2005,1.0,48468588.0,60000000.0,60000000.0,Native-born,North America (US),US,,,52904390.0,1,2005,10,21,16,4,23
Modigliani,Mick Davis,Philippe Martinez,Bauer Martinez,Emmanuel Kadosh),Andy Garcia,Hippolyte Girardot,Omid Djalili,Peter Capaldi,Eva Herzigova,Drama,2005,2.0,195378.0,12000000.0,,Foreign-born,,Scottish,,,,1,2004,13,18,11,18,2
Monster-in-Law,Robert Luketic,J.C. Spink,New Line Cinema,Russell Carpenter),Jennifer Lopez,Jane Fonda,Michael Vartan,Wanda Sykes,Adam Scott,Romantic Comedy,2005,2.0,82931301.0,43000000.0,45000000.0,Foreign-born,Oceania,Australia,Male,Caucasian,73000000.0,1,2005,4,3,1,7,2
Mr. & Mrs. Smith,Doug Liman,Akiva Goldsman,20th Century Fox,Bojan Bazelli,Brad Pitt,Angelina Jolie,Vince Vaughn,Adam Brody,Kerry Washington,Action,2005,2.0,186336103.0,110000000.0,,Native-born,North America (US),US,Male,Caucasian,,1,2005,17,1,11,5,2
Mrs. Palfrey at the Claremont,Dan Ireland,Lee Caplin,,Claudio Rocha,Joan Plowright,Rupert Friend,Anna Massey,Robert Lang,Zoë Tapper,Drama,2005,4.0,61070.0,3000000.0,,,,,,,,0,2005,7,21,5,18,33
Munich,Steven Spielberg,Kathleen Kennedy,Universal,Janusz Kaminski,,,,,,Drama,2005,4.0,47379090.0,70000000.0,75000000.0,Native-born,North America (US),US,Male,Caucasian,84113682.0,0,2005,6,20,6,6,2
Must Love Dogs,Gary David Goldberg,Gary David Goldberg,Warner Bros.,John Bailey,Diane Lane,John Cusack,Elizabeth Perkins,Christopher Plummer,Dermot Mulroney,Romantic Comedy,2005,3.0,43894863.0,30000000.0,35000000.0,Native-born,North America (US),US,,,14510450.0,1,2005,0,17,19,18,36
Mysterious Skin,Gregg Araki,Mary Jane Skalski,Tartan Films,Steve Gainer),Joseph Gordon-Levitt,Brady Corbet,Elisabeth Shue,Michelle Trachtenberg,Bill Sage,Drama,2005,2.0,697181.0,2000000.0,,,,,,,1435308.0,1,2004,15,9,20,18,2
Never Been Thawed,Sean Anders,Chuck LeVinus,Indican Pictures,,Allen Zwolle,Shelly Frasier,C.J. Cotton,Charles Arnold,John Angelo,Comedy,2005,2.0,46812.0,35000.0,,Native-born,North America (US),US,Male,Caucasian,,0,2005,8,8,16,22,25
New York Doll,Greg Whiteley,Ed Cunningham,First Independent Pictures,Roderick Santiano,,,,,,Documentary,2005,4.0,217655.0,1000000.0,,Native-born,North America (US),US,,,17464.0,0,2005,11,12,11,22,29
North Country,Niki Caro,Nick Wechsler,Warner Bros.,,Charlize Theron,Frances McDormand,Sissy Spacek,Sean Bean,Richard Jenkins,Drama,2005,4.0,18324242.0,35000000.0,30000000.0,Foreign-born,Oceania,New Zealand,Female,Caucasian,5352529.0,1,2005,10,21,17,18,29
November,Greg Harrison,Danielle Renfrew Behrens,Sony Pictures,Nancy Schreiber,Courteney Cox,Anne Archer,James LeGros,Nora Dunn,Michael Ealy,Drama,2005,3.0,191309.0,300000.0,250000.0,Native-born,North America (US),US,,,,1,2004,16,20,8,18,36
Oliver Twist,Roman Polanski,Alain Sarde,Sony Pictures,Pawel Edelman,Ben Kingsley,Barney Clark,Jamie Foreman,Harry Eden,Leanne Rowe,Drama,2005,3.0,1987287.0,60000000.0,,Foreign-born,Europe,France,Male,Caucasian,,1,1997,0,17,20,16,18
Palindromes,Todd Solondz,Lisa Muskat,WellSpring,Tom Richmond,Ellen Barkin,Jennifer Jason Leigh,Stephen Adly Guirgis,Emani Sledge,Valerie Shusterov,Drama,2005,2.0,553368.0,2000000.0,,Native-born,North America (US),US,Male,Caucasian,,1,2004,12,22,6,11,42
Pooh's Heffalump Movie,Frank Nissen,Jessica Koplos-Miller,Walt Disney,,John Fiedler,Nikita Hopkins,Kath Soucie,Ken Sansom,Peter Cullen,Animated,2005,1.0,18081626.0,20000000.0,20000000.0,,,,,,37588511.0,0,2005,15,9,6,18,19
Pretty Persuasion,Marcos Siega,Matthew Weaver,Samuel Goldwyn Films,Ramsey Nickell,Evan Rachel Wood,James Woods,Ron Livingston,Danny Comden,Jane Krakowski,Drama,2005,3.0,305688.0,8000000.0,,Native-born,North America (US),US,,,,1,2005,1,15,7,3,10
Prime,Ben Younger,Suzanne Todd,Universal,William Rexer,Meryl Streep,Uma Thurman,Bryan Greenberg,Annie Parisse,Ato Essandoh,Romantic Comedy,2005,4.0,22728025.0,22000000.0,,Native-born,North America (US),US,Male,Caucasian,44700000.0,1,2005,10,0,10,19,2
Proof,John Madden,John N. Hart Jr.,Miramax,Alwin Kuchler,Gwyneth Paltrow,Jake Gyllenhaal,Anthony Hopkins,Hope Davis,Gary Houston,Drama,2005,3.0,7524766.0,25000000.0,20000000.0,Foreign-born,Europe,United Kingdom,Male,Caucasian,749000.0,1,2005,4,11,20,18,2
Rebound,Steve Carr,Robert Simonds,20th Century Fox,Glen MacPherson,Martin Lawrence,Patrick Warburton,Megan Mullally,Alia Shawkat,Breckin Meyer,Comedy,2005,3.0,16808336.0,45000000.0,45000000.0,Native-born,North America (US),US,Male,Caucasian,683000.0,1,2005,1,15,17,21,37
Red Eye,Wes Craven,Chris Bender,Dreamworks SKG,Robert Yeoman,Rachel McAdams,Cillian Murphy,Brian Cox,Laura Johnson,Max Kasch,Thriller,2005,3.0,57859105.0,25000000.0,26000000.0,,,,,,38774683.0,1,2005,4,11,21,11,2
Rent,Chris Columbus,Robert De Niro,Sony Pictures,Stephen Goldblatt,Rosario Dawson,Taye Diggs,Wilson Jermaine Heredia,Jesse L. Martin,Idina Menzel,Musical,2005,4.0,29045189.0,50000000.0,40000000.0,Native-born,North America (US),US,Male,Caucasian,2593073.0,1,2005,9,17,6,5,17
Robots,Chris Wedge,Jerry Davis,20th Century Fox,,,,,,,Comedy,2005,1.0,128200012.0,75000000.0,80000000.0,Native-born,North America (US),US,Male,Caucasian,132500000.0,0,2005,19,13,11,16,4
Roll Bounce,Malcolm D. Lee,Robert Teitel,Fox Searchlight,J Michael Muro,Bow Wow,Chi McBride,Nick Cannon,Khleo Thomas,Mike Epps,Comedy,2005,3.0,17377282.0,10000000.0,10000000.0,Native-born,North America (US),US,Male,Black or African American,52206.0,0,2005,4,11,9,6,15
Rumor Has It...,Rob Reiner,Ben Cosgrove,Warner Bros.,Peter Deming,Jennifer Aniston,Mark Ruffalo,Shirley MacLaine,Kevin Costner,Mena Suvari,Drama,2005,4.0,42996140.0,50000000.0,,Native-born,North America (US),US,Male,Caucasian,,1,2005,4,11,13,4,2
Serenity,Joss Whedon,Barry Mendel,Universal,Jack N Green,Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,Adam Baldwin,Sci-Fi,2005,3.0,25335935.0,39000000.0,39000000.0,Native-born,North America (US),US,Male,Caucasian,14804923.0,0,2005,2,13,21,13,2
Shopgirl,Anand Tucker,Ashok Amritraj,Walt Disney,Peter Suschitzky,Steve Martin,Claire Danes,Jason Schwartzman,Bridgette Wilson-Sampras,Frances Conroy,Romantic Comedy,2005,4.0,10281585.0,7000000.0,7500000.0,Foreign-born,,British ,,,1473895.0,1,2005,10,0,6,5,2
Sin City,Robert Rodriguez,Robert Rodriguez,Miramax/Dimension,Robert Rodriguez,Jessica Alba,Devon Aoki,Alexis Bledel,Powers Boothe,Rosario Dawson,Thriller,2005,2.0,74098862.0,45000000.0,40000000.0,Native-born,North America (US),US,Male,Latinx/Hispanic,84424098.0,1,2005,6,20,21,5,2
Sky High,Mike Mitchell,Andrew Gunn,Walt Disney,Shelly Johnson,Michael Angarano,Kurt Russell,Kelly Preston,Mary Elizabeth Winstead,Bruce Campbell,Action,2005,3.0,63939454.0,40000000.0,35000000.0,Native-born,North America (US),US,Male,,19169905.0,1,2005,1,15,6,5,2
Smile,Jeff Kramer,Kip Konwiser,Innovation,Edward J Pei,Sean Astin,Beau Bridges,Mika Boorem,Linda Hamilton,Cheri Oteri,Drama,2005,2.0,,2000000.0,,,,,,,,1,2005,7,21,19,16,20
Son of the Mask,Lawrence Guterman,Scott Kroopf,New Line Cinema,Greg Gardiner,Jamie Kennedy,Alan Cumming,Bob Hoskins,Traylor Howard,Steven Wright,Comedy,2005,1.0,17010646.0,84000000.0,100000000.0,Foreign-born,,,,,42900000.0,1,2005,4,11,6,18,2
Stay,Marc Forster,Tom Lassally,20th Century Fox,Roberto Schaefer,Ewan McGregor,Naomi Watts,Ryan Gosling,Elizabeth Reaser,Bob Hoskins,Drama,2005,4.0,3626883.0,50000000.0,,Foreign-born,Europe,Germany,Male,Caucasian,491000.0,1,2005,16,4,6,18,2
Stealth,Rob Cohen,Laura Ziskin,Sony Pictures,Dean Semler,Josh Lucas,Jessica Biel,Jamie Foxx,Sam Shepard,Richard Roxburgh,Drama,2005,3.0,31704416.0,50000000.0,138000000.0,Native-born,North America (US),US,Male,Caucasian,44300000.0,1,2005,2,13,6,18,2
Syriana,Stephen Gaghan,Jennifer Fox,Warner Bros.,Robert Elswit,George Clooney,Matt Damon,Jeffrey Wright,Chris Cooper,William Hurt,Drama,2005,4.0,50815288.0,60000000.0,50000000.0,Native-born,North America (US),US,Male,Caucasian,41866339.0,1,2005,14,16,6,5,2
The Amityville Horror,Andrew Douglas,Michael Bay,Filmways Pictures,Peter Collister),Ryan Reynolds,Melissa George,Jesse James,Jimmy Bennett,Chloë Grace Moretz,Horror,2005,2.0,64255243.0,19000000.0,18500000.0,Foreign-born,,,,,43942304.0,1,2005,18,10,17,16,2
The Ballad of Jack and Rose,Rebecca Miller,Lemore Syvan,IFC Films,Ellen Kuras,Daniel Day-Lewis,Catherine Keener,Camilla Belle,Paul Dano,Beau Bridges,Drama,2005,1.0,712294.0,2000000.0,,Native-born,North America (US),US,Female,Caucasian,,1,2005,4,11,6,6,2
The Baxter,Michael Showalter,Galt Niederhoffer,IFC Films,Tim Orr,Michael Showalter,Elizabeth Banks,Michelle Williams,Justin Theroux,Zak Orth,Romantic Comedy,2005,3.0,181872.0,2000000.0,,Native-born,North America (US),US,Male,Caucasian,,1,2005,10,3,13,18,30
The Brothers Grimm,Terry Gilliam,Daniel Bobker,Miramax/Dimension,Newton Thomas Sigel,Matt Damon,Heath Ledger,Peter Stormare,Lena Headey,Jonathan Pryce,Comedy,2005,3.0,37899638.0,75000000.0,80000000.0,Native-born,North America (US),US,Male,Caucasian,67400000.0,1,2005,19,13,21,18,29
The Cave,Bruce Hunt,Tom Rosenberg,Sony Pictures,Ross Emery,Cole Hauser,Morris Chestnut,Eddie Cibrian,Rick Ravanello,Marcel Iures,Adventure,2005,3.0,14888028.0,20000000.0,30000000.0,,,,,,12140000.0,0,2005,2,4,6,18,2
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,Mark Johnson,Walt Disney,Donald M McAlpine,,,,,,Fantasy,2005,4.0,291709845.0,150000000.0,180000000.0,Foreign-born,,New Zealand,,,,0,2005,0,3,19,5,2
The Chumscrubber,Arie Posin,Lawrence Bender,Newmarket Films,Lawrence Sher,,,,,,Drama,2005,3.0,49526.0,6800000.0,,Native-born,North America (US),US,,,,0,2005,15,9,22,4,22
The Crow: Wicked Prayer,Lance Mungia,Edward R. Pressman,Dimension Films,Kurt Brabbee,Edward Furlong,David Boreanaz,Dennis Hopper,Tara Reid,Emmanuelle Chriqui,Action,2005,2.0,,,,Native-born,North America (US),US,,,,1,2005,6,4,17,18,37
The Devil's Rejects,Rob Zombie,Andy Gould,Lionsgate,Phil Parmet,Sid Haig,Sheri Moon Zombie,Bill Moseley,Diamond Dallas Page,Ken Foree,Horror,2005,3.0,16901126.0,7000000.0,,Native-born,North America (US),US,Male,Caucasian,,0,2005,16,2,6,18,2
The Dukes of Hazzard,Jay Chandrasekhar,Bill Gerber,Warner Bros.,Lawrence Sher,Johnny Knoxville,Seann William Scott,Jessica Simpson,Burt Reynolds,Joe Don Baker,Action,2005,3.0,80270227.0,53000000.0,53000000.0,Native-born,North America (US),US,Male,Southeast Asian/Indian,29578234.0,1,2005,20,3,17,18,2
The Exorcism of Emily Rose,Scott Derrickson,Paul Harris Boardman,Sony Pictures,Tom Stern,Laura Linney,Tom Wilkinson,Campbell Scott,Jennifer Carpenter,Colm Feore,Horror,2005,3.0,75072454.0,19000000.0,18000000.0,Native-born,North America (US),US,Male,Caucasian,69456624.0,1,2005,4,11,11,18,2
The Fog,Rupert Wainwright,David Foster,Sony Pictures,Nathan Hope,Tom Welling,Maggie Grace,Selma Blair,DeRay Davis,Kenneth Welsh,Horror,2005,4.0,29511112.0,18000000.0,18000000.0,Foreign-born,,,,,7537414.0,1,2005,5,6,16,19,18
The Great Raid,John Dahl,Lawrence Bender,Miramax,Peter Menzies Jr.,,,,,,Action,2005,3.0,10166502.0,70000000.0,60000000.0,Native-born,North America (US),US,,,430568.0,0,2005,11,12,8,5,24
The Greatest Game Ever Played,Bill Paxton,Larry Brezner,Walt Disney,Shane Hurlbut),Shia LaBeouf,Michael Weaver,Elias Koteas,Stephen Dillane,Peter Firth,Biopic,2005,3.0,15331289.0,25000000.0,25000000.0,,,,,,136977.0,1,2005,8,8,21,18,25
The Honeymooners,John Schultz,David Friendly,Paramount Pictures,Shawn Maurer,Cedric The Entertainer,Mike Epps,Regina Hall,Gabrielle Union,Jon Polito,Comedy,2005,2.0,12834056.0,30000000.0,27000000.0,,,,Male,,339577.0,0,2005,13,18,0,10,44
The Interpreter,Sydney Pollack,Kevin Misher,Universal,Darius Khondji,Nicole Kidman,Sean Penn,Catherine Keener,Jesper Christensen,Yvan Attal,Drama,2005,2.0,72515360.0,80000000.0,,Native-born,North America (US),US,,,,1,2005,6,20,8,8,2
The Island,Michael Bay,Walter F. Parkes,Dreamworks SKG,Mauro Fiore,Ewan McGregor,Scarlett Johansson,Djimon Hounsou,Sean Bean,Steve Buscemi,Sci-Fi,2005,3.0,35799026.0,126000000.0,120000000.0,Native-born,North America (US),US,Male,Caucasian,127200000.0,1,2005,19,3,8,11,2
The League of Gentlemen's Apocalypse,Steve Bendelack,Greg Brenman,,Rob Kitzmann,,,,,,Comedy,2005,2.0,,,,Foreign-born,,British,,,,0,2005,6,20,21,7,2
The Legend of Zorro,Martin Campbell,Walter F. Parkes,Sony Pictures,,Antonio Banderas,Catherine Zeta-Jones,Rufus Sewell,Nick Chinlund,Julio Oscar Mechoso,Action,2005,4.0,45356386.0,75000000.0,80000000.0,Foreign-born,Oceania,New Zealand,Male,Caucasian,95900000.0,1,2005,14,16,20,18,2
The Longest Yard,Peter Segal,Jack Giarraputo,Paramount Pictures,Dean Semler,Adam Sandler,Chris Rock,Burt Reynolds,Nelly,James Cromwell,Comedy,2005,2.0,158115031.0,82000000.0,82000000.0,Native-born,North America (US),US,Male,Caucasian,33439045.0,1,2005,0,17,16,18,2
The Man,Les Mayfield,Robert N. Fried,New Line Cinema,Adam Kane,Eugene Levy,Samuel L. Jackson,Luke Goss,Miguel Ferrer,Susie Essman,Comedy,2005,3.0,8326035.0,20000000.0,20000000.0,Native-born,North America (US),US,,,2062976.0,1,2005,19,18,5,18,2
