Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar,Release_year,cluster_tfidf_first,cluster_tfidf_second,cluster_lda_major_first,cluster_lda_major_second,cluster_lda_major_second_finer
Believe,Robert Tinnell,Richard Goudreau,,Pierre Jodoin,Ben Gazzara,Jan Rubes,Andrea Martin,Ricky Mabe,Mario Boni,Horror,1999,,,,,,,,Male,,,0,2007,7,21,7,16,2
Believe,Loki Mulholland,Russ Kendall,Kaleidoscope Pictures,,Larry Bagby III,Troy Dunn,Ann Bosler,Lincoln Hoppe,Stephen J Anderson,Comedy,2007,2.0,,,,,,,,,,0,2007,7,21,7,16,2
Best Laid Plans,Mike Barker,Alan Greenspan,Searchlight Pictures,Ben Seresin,Reese Witherspoon,Josh Brolin,Alessandro Nivola,Rocky Carroll,Michael G. Hagerty,Crime,1999,,25651.0,8750000.0,,Foreign-born,,British,,,,1,1999,13,3,21,17,32
Bicentennial Man,Chris Columbus,Wolfgang Petersen,Walt Disney,,,,,,,Adaptation,1999,,58220776.0,115500000.0,90000000.0,Native-born,North America (US),US,Male,Caucasian,29200000.0,0,1999,12,22,18,18,2
Big Daddy,Dennis Dugan,Sid Ganis,Sony Pictures,Theo van de Sande,Adam Sandler,Joey Lauren Adams,Jon Stewart,Cole Sprouse,Dylan Sprouse,Comedy,1999,,163479795.0,35200000.0,30000000.0,Native-born,North America (US),US,,,65161488.0,1,1999,4,11,14,20,21
Blue Streak,Les Mayfield,Toby Jaffe,Sony Pictures,David Eggby,Martin Lawrence,Luke Wilson,Dave Chappelle,Peter Greene,Nicole Ari Parker,Action,1999,,68208190.0,41800000.0,36000000.0,Native-born,North America (US),US,,,49239967.0,1,1999,20,2,17,0,2
Bowfinger,Frank Oz,Brian Grazer,Universal,Ueli Steiger,Steve Martin,Eddie Murphy,Heather Graham,Christine Baranski,Jamie Kennedy,Comedy,1999,,66365290.0,60500000.0,55000000.0,,,,,,32241000.0,1,1999,11,12,20,18,2
Boys Don't Cry,Kimberly Peirce,Jeffrey Sharp,Fox Searchlight,Jim Denault,Hilary Swank,Chloë Sevigny,Peter Sarsgaard,Brendan Sexton III,Alison Folland,Biopic,1999,,11533945.0,2000000.0,2000000.0,Native-born,North America (US),US,,,9200393.0,1,1999,16,4,20,18,13
Breakfast of Champions,Alan Rudolph,David Blocker,Walt Disney,Elliot Davis,Bruce Willis,Albert Finney,Nick Nolte,Barbara Hershey,Glenne Headly,Adaptation,1999,,175370.0,16250000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1999,22,19,22,3,10
Bringing Out the Dead,Martin Scorsese,Scott Rudin,Paramount Pictures,Robert Richardson,Nicolas Cage,Patricia Arquette,John Goodman,Ving Rhames,Tom Sizemore,Adaptation,1999,,16640210.0,52800000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1999,3,14,21,18,2
