Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo
Intern,Michael Lange,Galt Niederhoffer,York Entertainment,Rodney Charters,Dominique Swain,Kathy Griffin,Billy Porter,Joan Rivers,Paulina Porizkova,Comedy,2000,3,4000,1.00E+06,NA,Native-born,North America (US),US,NA,NA,NA
Interstate 84,Ross Partridge,Tonia Lynn,NA,Horacio Marquinez,Kevin Dillon,John Littlefield,Megan Dodds,John Doman,Harley Cross,Drama,2000,NA,NA,NA,NA,Native-born,North America (US),US,Male,Caucasian,NA
Into My Heart,Anthony Stark,Jean Doumanian,Jean Doumanian Productions,Michael Barrow,Rob Morrow,Claire Forlani,Jayne Brook,Jake Weber,NA,Drama,2000,2,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Into the Arms of Strangers: Stories of the Kindertransport,Mark Jonathan Harris,Deborah Oppenheimer,Warner Bros.,Don Lenzer,Mirka Colman,Alexander Leeb,Mia Martin,Kevin Schwarzwald,Benjamin Singer,Documentary,2000,3,374555,625000,NA,Native-born,North America (US),US,Male,NA,NA
Invisible Revolution,Beverly Peterson,Beverly Peterson,Women Make Movies,Mike Harlow,NA,NA,NA,NA,NA,Documentary,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaac Asimov's Nightfall,Gwyneth Gibby,Roger Corman,NA,Abhik Mukhopadhyay,David Carradine,Jennifer Burns,Joseph Hodge,NA,NA,Adaptation,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isn't She Great,Andrew Bergman,Mike Lobell,Universal,Karl Walter Lindenlaub,Bette Midler,Nathan Lane,Stockard Channing,David Hyde Pierce,John Cleese,Adaptation,2000,1,2950130,4.50E+07,3.60E+07,Native-born,North America (US),US,NA,NA,NA
It's Alright Ma (I'm Only Trying),Abe Levy,Abe Levy,NA,Abe Levy,Christopher Jaymes,Jorja Dwyer,Jacqyln Gray,Heather Granahan,Robert Vandermaaten,Comedy,2000,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Jacks or Better,Robert Sidney Mellette,Hilton Smith,NA,David M Russell,Jack Wallace,Nathan Anderson,Atlas Talent Agency,Inc.),Matt Landers,Drama,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerks,Ted Grouya,Ted Grouya,NA,John Skotchdopole,Emmanuel Xuereb,Francis Fallon,Patrick Sheehan,Scott Mallon,Sarah Wynter,Comedy,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jesus' Son,Alison MacLean,Elizabeth Cuthrell,Lionsgate,Adam Kimmel,Billy Crudup,Samantha Morton,Denis Leary,Holly Hunter,Dennis Hopper,Adaptation,2000,2,1282084,7500000,NA,Foreign-born,North America (Canada),Canada,Female,NA,NA
Joe Gould's Secret,Stanley Tucci,NA,Focus Features,Maryse Alberti,NA,NA,NA,NA,NA,Adaptation,2000,2,641117,6500000,NA,Native-born,North America (US),US,Male,Caucasian,745237
"John, John in the Sky",Jefferson Davis,Wakako Miyakuni,NA,Joel Daavid,Matt Letscher,Christian Craft,Rusty Schwimmer,Randy Travis,Romy Rosemont,Drama,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Judy Berlin,Eric Mendelsohn,Rocco Caruso,Shooting Gallery Pictures,Jeffrey Seckendorf,Barbara Barrie,Bob Dishy,Edie Falco,Carlin Glynn,Aaron Harnick,Romance,2000,1,467313,250000,NA,Native-born,North America (US),US,NA,NA,NA
Junked,Lance Lane,NA,NA,NA,Thomas Jane,Jordan Ladd,Channon Roe,Pete Punito,Martin Marino,Drama,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Just Looking,Jason Alexander,Jean Doumanian,Sony Pictures,Fred Schuler,Ryan Merriman,Joseph Franquinha,Peter Onorati,Gretchen Mol,Ilana Levine,Comedy,2000,4,39852,6250000,3.00E+06,Native-born,North America (US),US,NA,NA,NA
Just One Time,Lane Janger,Jasmine Kosovic,Cowboy Pictures,Michael St Hilaire,Lane Janger,Joelle Carter,Guillermo Diaz,David Lee Russek,Jennifer Esposito,Comedy,2000,4,23767,2.00E+06,NA,Native-born,North America (US),US,NA,NA,NA
Kali's Vibe,Shari Carpenter,Shari Carpenter,NA,Kerwin DeVonish,Lizzy Davis,Charles Malik Whitfield,Phalana Tiller,Akanke McLean-Nur,Yvette Brooks,Comedy,2000,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Keeping the Faith,Edward Norton,Hawk Koch,Walt Disney,Anastas Michos,Ben Stiller,Edward Norton,Jenna Elfman,Anne Bancroft,Eli Wallach,Comedy,2000,2,37036404,35200000,2.90E+07,Native-born,North America (US),US,Male,Caucasian,8300000
Kin,Elaine Proctor,Margaret Matheson,NA,Amy Vincent,Isaiah Washington,Miranda Otto,Chris Chameleon,Moses Kandjoze,Ndondoro Hevita,Drama,2000,NA,NA,NA,NA,Foreign-born,NA,South African,NA,NA,NA
Knockout,Lorenzo Doumani,Lorenzo Doumani,Independent Artists Filmed Entertainment,Hisham Abed),Sophia Adella Hernandez,Maria Conchita Alonso,Paul Winfield,Tony Plana,Eduardo Yáñez,Action,2000,1,127891,5.00E+05,NA,Native-born,North America (US),US,NA,NA,NA
Lady and the Tramp II: Scamp's Adventure,Darrell Rooney,Jeannine Roussel,NA,NA,NA,NA,NA,NA,NA,Adventure,2000,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Last Call,NA,NA,NA,NA,Junior Williams,Phil Morrison,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Left Luggage,Jeroen Krabbe,Ate De Jong,Castle Hill Productions,Walther Vanden Ende,Isabella Rossellini,Maximilian Schell,Laura Fraser,Jeroen Krabbe,Marianne Sägebrecht,Adaptation,2000,3,1315071,1.00E+06,NA,Foreign-born,NA,NA,NA,NA,NA
Little Nicky,Steven Brill,Robert Simonds,New Line Cinema,Theo van de Sande,Adam Sandler,Patricia Arquette,Harvey Keitel,Rhys Ifans,"Tommy ""Tiny"" Lister Jr.",Comedy,2000,4,39442871,8.80E+07,8.00E+07,Native-born,North America (US),US,Male,NA,18827520
Live Nude Girls UNITE!,Julia Query,John Montoya,First Run Features,Julia Query,Julia Query,Dr. Joyce Wallace,NA,NA,NA,Documentary,2000,4,84706,2.00E+05,NA,NA,NA,NA,NA,NA,NA
Live Virgin,Jean-Pierre Marois,Aissa Djabri,Granite Releasing,Eagle Egilsson,Bob Hoskins,Robert Loggia,Mena Suvari,Sally Kellerman,Gabriel Mann,Comedy,2000,2,NA,NA,NA,Foreign-born,NA,French ,NA,NA,NA
Lloyd,Hector Barron,Samuel Calvillo,NA,Michael Orrefice,Todd Bosley,Tom Arnold,Brendon Ryan Barrett,Mary Mara,Taylor Negron,Comedy,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long Night's Journey Into Day,Frances Reid,Frances Reid,Seventh Art Releasing,Frances Reid,Peter Biehl,Linda Biehl,Evelyn Manqina,Mongezi Manqina,"""Easy"" Nofemela",Documentary,2000,1,45317,NA,NA,NA,NA,NA,NA,NA,NA
Looking for an Echo,Martin Davidson,Martin Davidson,Regent Entertainment,Charles Minsky,Armand Assante,Diane Venora,Joe Grifasi,Tom Mason,Tony Denison,Drama,2000,4,14386,3.00E+06,NA,Native-born,North America (US),US,NA,NA,NA
Loser,Amy Heckerling,Amy Heckerling,Sony Pictures,Robert S Hahn,Jason Biggs,Mena Suvari,Zak Orth,Tom Sadoski,Jimmi Simpson,Comedy,2000,3,15464026,21450000,2.00E+07,Native-born,North America (US),US,NA,NA,2786080
Losing It,Sharon Greytak,Sharon Greytak,NA,Robert Jakubik,Marino Crivellari,Fyodor Marino,Marcello Paiva,Fyodor Krasov,Larisa Tokareva,Documentary,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lost Souls,Janusz Kaminski,Nina Sadowsky,New Line Cinema,Mauro Fiore,Winona Ryder,Ben Chaplin,Sarah Wynter,Philip Baker Hall,John Hurt,Drama,2000,4,16779636,30800000,2.80E+07,Foreign-born,NA,NA,NA,NA,14540657
Louis Prima: The Wildest!,Don McGlynn,Joe Lauro,NA,Steven Wacks,Louis Prima,Gia Maione,Jimmy Vincent,Sam Butera,Lou Sineaux,Documentary,2000,1,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Love & Basketball,Gina Prince-Bythewood,Spike Lee,New Line Cinema,Reynaldo Villalobos,Sanaa Lathan,Omar Epps,Dennis Haysbert,Debbi Morgan,Alfre Woodard,Drama,2000,2,27441122,11550000,NA,NA,NA,NA,NA,NA,NA
Love and Sex,Valerie Breiman,Timothy Scott Bogart,Lionsgate,Adam Kane,Famke Janssen,Jon Favreau,Noah Emmerich,Ann Magnuson,Cheri Oteri,Comedy,2000,3,536287,4500000,NA,NA,NA,NA,NA,NA,NA
Love and Support,Joe Furey,Suzi Tunney,NA,Thomas L Callaway,Joe Furey,Pat Finn,Kristin Dattilo,Jenna Byrne,Wayne Fetterman,Comedy,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Love Her Madly,Ray Manzarek,Rick Schmidlin,NA,NA,NA,NA,NA,NA,NA,Thriller,2000,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Loving Jezebel,Kwyn Bader,David Lancaster,Focus Features,Horacio Marquinez,Hill Harper,Justin Pierre Edmund,David Moscow,Laurel Holloman,Nicole Ari Parker,Comedy,2000,4,69470,1250000,NA,NA,NA,NA,NA,NA,NA
Lucky Numbers,Nora Ephron,Andrew Lazar,Paramount Pictures,John Lindley),John Travolta,Tim Roth,Lisa Kudrow,Michael Rapaport,Ed O'Neill,Comedy,2000,4,10014234,8.80E+07,NA,NA,NA,NA,NA,NA,NA
Luckytown,Paul Nicholas,Emilio Ferrari,NA,Denis Maloney,Carmen Llewellyn,Kirsten Dunst,James Caan,Vincent Kartheiser,Robert Miano,Crime,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lugosi: Hollywood's Dracula,Gary D Rhodes,Richard Sheffield,Seventh Art Releasing,James Cain,Robert Wise,Bela Lugosi Jr.,Hope Lugosi,Louise Currie,Loretta King,Documentary,2000,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Luminarias,Jose Luis Valenzuela,Sal Lopez,New Latin Pictures,Alex Phillips Jr.,Evelina Fernández,Scott Bakula,Marta Dubois,Robert Beltran,Angela Moya,Comedy,2000,2,428535,1.00E+06,1.00E+06,Native-born,North America (US),US,NA,NA,NA
Luminous Motion,Bette Gordon,Ted Hope,Artistic License Films,Teodoro Maniaci),Deborah Kara Unger,Eric Lloyd,Jamey Sheridan,Terry Kinney,James Berland,Adaptation,2000,2,51380,8.00E+05,NA,Native-born,North America (US),US,Female,NA,NA
Luscious,NA,NA,NA,NA,Kari Wuhrer,Stephen Shellen,NA,NA,NA,Drama,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mach 2,Edward R Raymond,Robyn Stevens,NA,Thomas L Callaway,Brian Bosworth,Michael Dorn,Shannon Whirry,Lance Guest,Bruce Weitz,Action,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mad About Mambo,John Forte,David Kelly,USA Films,Ashley Rowe,NA,NA,NA,NA,NA,Comedy,2000,3,61663,6500000,NA,NA,NA,NA,NA,NA,NA
Made In the Youth SA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Documentary,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malena,Giuseppe Tornatore,Harvey Weinstein,Miramax,Lajos Koltai,Monica Bellucci,Giuseppe Sulfaro,Luciano Federico,Matilde Piana,Pietro Notarianni,Drama,2000,4,3429045,3750000,NA,Foreign-born,Europe,Italy,Male,NA,NA
Me & Isaac Newton,Michael Apted,Jody Allen,First Look Pictures,Maryse Alberti,Gertrude Elion,Ashok Gadgil,Michio Kaku,Maja Mataric,Steven Pinker,Documentary,2000,4,32269,4.00E+05,NA,Foreign-born,Europe,United Kingdom,Male,Caucasian,NA
Me Myself I,Pip Karmel,Fabien Liron,Sony Pictures,Graham Lind,Rachel Griffiths,Sandy Winton,Yael Stone,Shaun Loseby,Trent Sullivan,Comedy,2000,2,562929,5250000,NA,Foreign-born,NA,Australian,NA,NA,NA
"Me, Jane",Dan Hubp,Nadine Porterfield,Alwaysi - Randy Greenberg,NA,Jane Tollini,NA,NA,NA,NA,Documentary,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Me, Myself and Irene",Peter Farrelly,Bradley Thomas,20th Century Fox,Mark Irwin),Jim Carrey,Renée Zellweger,Anthony Anderson,Mongo Brownlee,Jerod Mixon,Adventure,2000,2,90567722,71500000,NA,Native-born,North America (US),US,Male,Caucasian,NA
Meet the Parents,Jay Roach,Nancy Tenenbaum,Universal,Peter James,Robert De Niro,Ben Stiller,Teri Polo,Blythe Danner,Nicole DeHuff,Comedy,2000,4,166225040,60500000,5.50E+07,Native-born,North America (US),US,Male,Caucasian,164200000
Men of Honor,George Tillman Jr.,Stanley G Robertson,20th Century Fox,Anthony B Richmond,Robert De Niro,Cuba Gooding Jr.,Charlize Theron,Aunjanue Ellis,Hal Holbrook,Action,2000,4,48814909,36300000,3.20E+07,Native-born,North America (US),US,Male,Black or African American,33524574
Mercy Streets,Jon Gunn,Kevin Downes,Providence,Chris Magee,David A. R. White,Eric Roberts,Cynthia Watros,Shiek Mahmud-Bey,Robert LaSardo,Crime,2000,4,171988,3.00E+06,6.00E+05,Native-born,North America (US),US,Male,NA,NA
