Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar
The Pursuit of Happyness,Gabriele Muccino,Todd Black,Sony Pictures,Phedon Papamichael,Will Smith,Thandie Newton,Jaden Smith,Dan Castellaneta,Zuhair Haddad,Drama,2006,4.0,162586036.0,55000000.0,55000000.0,Foreign-born,Europe,Italy,Male,Caucasian,144725057.0,1
The Queen,Stephen Frears,Andy Harries,Miramax,Affonso Beato,Helen Mirren,Michael Sheen,James Cromwell,Sylvia Syms,Helen McCrory,Drama,2006,3.0,56437947.0,10000000.0,,Foreign-born,Europe,United Kingdom,Male,Caucasian,,1
The Quiet,Jamie Babbit,Carolyn Pfeiffer,Sony Pictures,M David Mullen,Elisha Cuthbert,Edie Falco,Camilla Belle,Shawn Ashmore,Martin Donovan,Thriller,2006,3.0,381186.0,900000.0,900000.0,Native-born,North America (US),US,Female,Caucasian,,0
The Real Dirt on Farmer John,Taggart Siegel,Teri Lang,Slowhand Releasing,Taggart Siegel,Ann Peterson,,,,,Documentary,2006,1.0,34298.0,500000.0,,,,,Male,,,0
The Return,Asif Kapadia,Aaron Ryder,Focus Features,Roman Osin,Sarah Michelle Gellar,Kate Beahan,Peter O'Brien,Adam Scott,Sam Shepard,Horror,2006,4.0,7744785.0,15000000.0,,Foreign-born,Europe,United Kingdom,Male,"Asian, Caucasian, Multiracial",1100000.0,1
The Santa Clause 3: The Escape Clause,Michael Lembeck,Brian Reilly,Walt Disney,Robbie Greenberg,Tim Allen,Elizabeth Mitchell,Judge Reinhold,Wendy Crewson,Eric Lloyd,Comedy,2006,4.0,84497876.0,60000000.0,,Native-born,North America (US),US,,,23000000.0,1
The Second Chance,Steve Taylor,Clarke Gallivan,Sony Pictures,Ben Pearson,J Don Ferguson,Jeff Obafemi Carr,Lisa Arrindell Anderson,David Alford,Henry Rider Haggard,Drama,2006,1.0,432253.0,1200000.0,,,,,,,,0
The Sentinel,Clark Johnson,Michael Douglas,20th Century Fox,Gabriel Beristain,Michael Douglas,Kiefer Sutherland,Kim Basinger,Eva Longoria,Paul Calderon,Thriller,2006,2.0,36279230.0,60000000.0,60000000.0,Native-born,North America (US),US,Male,Black or African American,41800000.0,1
The Shaggy Dog,Brian Robbins,David Hoberman,Walt Disney,Gabriel Beristain,Tim Allen,Kristin Davis,Zena Grey,Spencer Breslin,Danny Glover,Comedy,2006,1.0,61112916.0,60000000.0,60000000.0,,,,,,26000000.0,1
The Sisters,Arthur Allan Seidelman,Judd Payne,,Chuy Chavez,Maria Bello,Erika Christensen,Elizabeth Banks,Linus Roache,Eric McCormack,Drama,2006,2.0,,,,,,,,,,1
The Slanted Screen,Jeff Adachi,Jeff Adachi,Asian American Arts Foundation,Anne Kaneko,,,,,,Documentary,2006,4.0,,,,Native-born,North America (US),US,,,,0
The Standard,Jordan Albertsen,Brian Scott Robinson,,Jeff Barklage,Taylor Handley,Tom Duffy,Alex Frost,Bobby Brewer,Marnette Patterson,Drama,2006,,,,,Native-born,North America (US),US,,,,0
The Strange Case of Dr. Jekyll and Mr. Hyde,John Buechler,Peter Davy,Rootbeer Films,James LeGoy,Tony Todd,Tracy Scoggins,Vernon Wells,Deborah Shelton,Stephen Wastell,Horror,2006,3.0,19111.0,750000.0,,Native-born,North America (US),US,,,,0
The Tenants,Danny Green,Holly Wiersma,Alchemy,David W DuBois,Dylan McDermott,Snoop Dogg,Rose Byrne,Aldis Hodge,Nikki Crawford,Drama,2006,1.0,2010.0,2000000.0,,,,,Male,,,1
The Texas Chainsaw Massacre: The Beginning,Jonathan Liebesman,Mike Fleiss,New Line Cinema,Lukas Ettlin,Jordana Brewster,Taylor Handley,Andrew Bryniarski,R. Lee Ermey,Heather Kafka,Horror,2006,4.0,39511038.0,16000000.0,16000000.0,Native-born,North America (US),US,,,11000000.0,0
The Tollbooth,Debra Kirschner,Debra Kirschner,Castle Hill Productions,Stefan Forbes,Marla Sokoloff,Liz Stauber,Tovah Feldshuh,Rob McElhenney,Idina Menzel,Drama,2006,1.0,,3000000.0,,,,,,,,0
The Tooth Fairy,Chuck Bowman,Stephen J. Cannell,,David Pelletier,Chandra West,Lochlyn Munro,Nicole Munoz,Steve Bacic,P.J. Soles,Horror,2006,,,,,Native-born,North America (US),US,,,,0
The Treasures of Long Gone John,Gregg Gibbs,Robert Taicher,,Jay Hickman,Long Gone John,Camille Rose Garcia,Robert J Williams,Todd Schorr,Mark Ryden,Documentary,2006,,,,,,,,,,,0
The Trouble With Men and Women,Tony Fisher,Christopher Simon,IFC Films,Sylvia Beck,Joe McFadden,Kate Ashfield,Matthew Delamere,Karen Tomlin,Julian Glover,Comedy,2006,3.0,614.0,3000000.0,,,,,,,,0
The U.S. vs. John Lennon,David Leaf,John Scheinfeld,Lionsgate,James Mathers,Carl Bernstein,Noam Chomsky,Walter Cronkite,Angela Davis,Ron Kovic,Documentary,2006,3.0,1102937.0,1000000.0,,Native-born,North America (US),US,,,,0
The Virgin of Juarez,Kevin James Dobson,Rosemary Marks-Carr,,Ross Berryman,,,,,,Crime,2006,,,,,Foreign-born,,,,,,0
The Visitation,Robby Henson,Ralph Winter),20th Century Fox,Glynn Speeckaert,Edward Furlong,Martin Donovan,Kelly Lynch,Randy Travis,,Thriller,2006,1.0,,,,Native-born,North America (US),US,,,,0
The War Tapes,Deborah Scranton,Robert May,Scranton/Lacy Films,Zack Bazzi,Duncan Domey,Brandon Wilkins,,,,Documentary,2006,2.0,254190.0,1000000.0,,Native-born,North America (US),US,,,,0
The Wicker Man,Neil LaBute,Nicolas Cage,Warner Bros.,Paul Sarossy,Nicolas Cage,Ellen Burstyn,Kate Beahan,Frances Conroy,Molly Parker,Horror,2006,3.0,23643531.0,40000000.0,,Native-born,North America (US),US,Male,Caucasian,13308360.0,1
The Wild,"Steve ""Spaz"" Williams",Beau Flynn,Walt Disney,,Kiefer Sutherland,James Belushi,Eddie Izzard,Janeane Garofalo,William Shatner,Animated,2006,2.0,37371315.0,80000000.0,80000000.0,,,,,,61626621.0,1
The Yardsale,Frank Nunez,John Fuentes,Vista Studios,,John Fuentes,Demetrius Navarro,Erlinda Orozco,Jon Huertas,Aris Alvarado,Comedy,2006,,,,,Native-born,North America (US),US,,,,0
The Zodiac,Alexander Bulkley,Corey Campodonico,ThinkFilm,Denis Maloney,Robin Tunney,Philip Baker Hall,Justin Chambers,Brad William Henke,Rory Culkin,Crime,2006,1.0,44785.0,1000000.0,,,,,,,,0
They're Just My Friends,Attika Torrence,Josselyne Herman-Saccio,Punchin' Pat Productions,Salvador Bolivar,Patrick Nwamu Jr.,Malik Yoba,Bruce Altman,Thom Christopher,Al Snow,Drama,2006,3.0,,,,,,,,,,0
Things that Hang from Trees,Ido Mizrahy,Joseph Zolfo,,Vanja Cernjul,Deborah Kara Unger,Daniel von Bargen,Ray McKinnon,Peter Gerety,Laila Robins,Drama,2006,,,,,,,,,,,0
This Film is Not Yet Rated,Kirby Dick,Eddie Schmidt,IFC Films,Shana Hagan,John Waters,Kevin Smith,Matt Stone,Kimberly Peirce,Atom Egoyan,Documentary,2006,,302179.0,500000.0,,Native-born,North America (US),US,Male,Caucasian,34923.0,0
This Filthy World,Jeff Garlin,Jeff Garlin,Red Envelope Entertainment,Daniel Shulman,John Waters,,,,,Documentary,2006,4.0,,,,Native-born,North America (US),US,Male,Caucasian,,0
Threat,Matteo Pizzolo,Katie Nisa,HiQi Media,Benjamin Brancato,Keith Middleton,Rebekka Takamizu,Keith Robinson,Katie Nisa,David R Fisher,Drama,2006,1.0,,,,,,,,,,0
Three Women and a Chateau,Catherine Ryan,Catherine Ryan,,Tim Metzger,,,,,,Documentary,2006,,,,,,,,,,,0
Through The Fire,Jonathan Hock,Jonathan Hock,Cinema Libre Studio,Alastair Chrisopher,,,,,,Documentary,2006,1.0,22098.0,1000000.0,,,,,Male,,,0
Tierney Gearon: The Mother Project,Jack Youngelson,Jack Youngelson,,Jack Youngelson,Tierney Gearon,,,,,Documentary,2006,,,,,,,,,,,0
To Play and To Fight,Alberto Arvelo,Nestor Lopez-Duran,,Cezary Jaworski,,,,,,Documentary,2006,,,,,,,,,,,0
Too Tough to Die,Mandy Stein,Mandy Stein,,John Pirozzi,Flea,John Frusciante,Marky Ramone,Henry Rollins,Rob Zombie,Documentary,2006,,,,,Native-born,North America (US),US,,,,0
Traci Townsend,Craig Ross Jr.,Bobby Thompson,,Carl Bartels,Jazsmin Lewis,Richard T. Jones,Mari Morrow,Victor L Williams),Suzanne Whang,Romantic Comedy,2006,,,,,Native-born,North America (US),US,,,,0
Tristan & Isolde,Kevin Reynolds,Elie Samaha,20th Century Fox,Miro Gabor,,,,,,Romance,2006,1.0,14732623.0,30000000.0,,Native-born,North America (US),US,Male,Caucasian,,0
Trudell,Heather Rae,Heather Rae,Balcony Releasing,Gilbert Salas,,,,,,Documentary,2006,1.0,21844.0,500000.0,,Native-born,North America (US),US,,,,0
Trust the Man,Bart Freundlich,Sidney Kimmel,Fox Searchlight,Tim Orr,Julianne Moore,David Duchovny,Billy Crudup,Maggie Gyllenhaal,Eva Mendes,Romantic Comedy,2006,3.0,1530535.0,10000000.0,9000000.0,Native-born,North America (US),US,Male,Caucasian,1017843.0,1
Turistas,John Stockwell,Scott Steindorff,20th Century Fox,Enrique Chediak,,,,,,Thriller,2006,4.0,7025803.0,12000000.0,10000000.0,Native-born,North America (US),US,Male,Caucasian,7293308.0,0
Two Weeks,Steve Stockman,Steve Stockman,Custom Productions Inc.,Stephen Kazmierski,Sally Field,Ben Chaplin,Tom Cavanagh,Julianne Nicholson,Glenn Howerton,Comedy,2006,4.0,45816.0,2400000.0,,,,,,,,1
Ultraviolet,Kurt Wimmer,John Baldecchi,Sony Pictures,Arthur Wong,Milla Jovovich,Cameron Bright,Nick Chinlund,William Fichtner,Sebastien Andrieu,Action,2006,1.0,18500966.0,30000000.0,30000000.0,Native-born,North America (US),US,,,12440048.0,1
Unaccompanied Minors,Paul Feig,Lauren Shuler Donner,Warner Bros.,Christopher Baffa),Wilmer Valderrama,Dyllan Christopher,Gia Mantegna,Quinn Shephard,Tyler James Williams,Other,2006,4.0,16647384.0,25000000.0,25000000.0,Native-born,North America (US),US,Male,Caucasian,5315607.0,0
Unconscious,Bradley Wigor,Bradley Wigor,,Marc Dobiecki,,,,,,Drama,2006,,,,,,,,,,,0
Underworld: Evolution,Len Wiseman,Gary Lucchesi,Sony Pictures,Simon Duggan),Kate Beckinsale,Scott Speedman,Tony Curran,Derek Jacobi,Bill Nighy,Action,2006,1.0,62318875.0,48000000.0,45000000.0,Native-born,North America (US),US,,,51098887.0,1
Unidentified,Rich Christiano,Rich Christiano,Five & Two,Philip Murn,Jonathan Aube,Josh Adamson,Jenna Bailey,Michael Blain-Rozgay,Lance Zitron,Drama,2006,2.0,222108.0,600000.0,,Native-born,North America (US),US,,,,0
United 93,Paul Greengrass,Tim Bevan,Universal,,J.J. Johnson,Gary Commock,Polly Adams,Opal Alladin,Starla Benford,Drama,2006,2.0,31471430.0,15000000.0,18000000.0,Foreign-born,Europe,United Kingdom,Male,Caucasian,46067901.0,0
Unknown,Simon Brand,Darby Parker,IFC Films,Steve Yedlin,Jim Caviezel,Greg Kinnear,Joe Pantoliano,Bridget Moynahan,Jeremy Sisto,Thriller,2006,4.0,24686.0,10000000.0,3700000.0,,,,,,3328645.0,1
Unrest,Jason Todd Ipson,Julio Bove,After Dark Films,Michael Fimognari,Corri English,Scot Davis,Joshua Alba,Marisa Petroro,Derrick O'Connor,Horror,2006,4.0,,,,Native-born,North America (US),US,,,,0
Urbanscapes,Lorena Luciano,Filippo Piscopo,Film2 Productions,Wolfgang Held,Gordon Baker,Marion Baker,Mel Rosenthal,Camillo J Vergara,,Documentary,2006,3.0,,,,,,,,,,0
V för Vendetta,James McTeigue,Joel Silver,Warner Bros.,Adrian Biddle,,,,,,Action,2006,1.0,70496802.0,54000000.0,,Foreign-born,Oceania,Australia,Male,Caucasian,,0
V.O.,William E Jones,,,,,,,,,Experimental,2006,,,,,Native-born,North America (US),US,,,,0
Vacationland,Todd Verow,Todd Verow,Bangor Films,Todd Verow,Brad Hallowell,Gregory Lucas,Jennifer Stackpole,Mindy Hofman,Charles Ard,Drama,2006,3.0,,,,Native-born,North America (US),US,,,,0
Vajra Sky Over Tibet,John Bush,John Bush,Direct Pictures,John Bush,,,,,,Documentary,2006,3.0,45136.0,500000.0,,,,,,,,0
Waist Deep,Vondie Curtis Hall,Preston L. Holmes,Focus Features,Gary Hatfield,Tyrese Gibson,Meagan Good,Larenz Tate,The Game,Henry Hunter Hall,Action,2006,2.0,21318194.0,20000000.0,,Native-born,North America (US),US,,,,1
Walker Payne,Matt Williams,Matthew Rhodes,,James L Carter,Jason Patric,Drea de Matteo,KaDee Strickland,Sam Shepard,Bruce Dern,Drama,2006,,,,,Native-born,North America (US),US,,,,1
Waltzing Anna,Bx Giongrete,Robert Capelli Jr.,Kindred Media Group,Yaron Orbach,Robert Capelli Jr.,Emmanuelle Chriqui,Pat Hingle,Betsy Palmer,Grant Shaud,Comedy,2006,3.0,,2000000.0,,,,,,,,0
Wassup Rockers,Larry Clark,Larry Clark,First Look,Steve Gainer),Jonathan Velasquez,Francisco Pedrasa,Milton Velasquez,Usvaldo Panameno,Laura Cellner,Drama,2006,2.0,221415.0,2000000.0,,Native-born,North America (US),US,Male,Caucasian,405503.0,0
We Are Marshall,McG,Basil Iwanyk,Warner Bros.,Shane Hurlbut),Matthew McConaughey,Matthew Fox,David Strathairn,Ian McShane,Anthony Mackie,Drama,2006,4.0,43532294.0,40000000.0,65000000.0,Native-born,North America (US),US,Male,Caucasian,,1
We Go Way Back,Lynn Shelton,Peggy Case,Cyan Pictures,Ben Kasulke,Aaron Blakely,Maggie Brown,Basil Harris,Amber Hubert,Robert Hamilton Wright,Drama,2006,3.0,,2000000.0,,Native-born,North America (US),US,Female,Caucasian,,0
What Is It?,Crispin Glover,Crispin Glover,Volcanic Eruptions,Wyatt Troll,Crispin Glover,Steven C. Stewart,Adam Parfrey,Fairuza Balk,Michael Blevins,Drama,2006,4.0,,,,Native-born,North America (US),US,,,,1
What the Bleep?! - Down the Rabbit Hole,Betsy Chasse,William Arntz,Independent Distribution Partnership (IDP),,Marlee Matlin,Barry Newman,Elaine Hendrix,Armin Shimerman,Robert Bailey Jr.,Documentary,2006,1.0,135706.0,1000000.0,,,,,,,,1
When a Stranger Calls,Simon West,Kenneth Lemberger,Sony Pictures,Peter Menzies Jr.,,,,,,Horror,2006,1.0,47860214.0,15000000.0,15000000.0,Foreign-born,Europe,United Kingdom,Male,Caucasian,19355221.0,0
When Do We Eat?,Salvador Litvak,Steven J. Wolfe,ThinkFilm,M David Mullen,Michael Lerner,Lesley Ann Warren,Jack Klugman,Meredith Scott Lynn,Shiri Appleby,Comedy,2006,2.0,428432.0,3000000.0,,Native-born,North America (US),US,,,,1
When I Came Home,Dan Lohaus,Dan Lohaus,,Dan Lohaus,,,,,,Documentary,2006,,,,,,,,,,,0
White Rainbow,Dharan Mandrayar,,Rocky Mountain Pictures,Kanan Bhimsingh,Sonali Kulkarni,Amardeep Jha,Shameem Ali,Amruta Subhash,Virendra Saxena,Drama,2006,2.0,10466.0,1250000.0,,,,,,,,0
Who Gets to Call It Art?,Peter Rosen,Peter Rosen,Palm Pictures,,,,,,,Documentary,2006,1.0,27344.0,500000.0,,,,,Male,,,0
Who Killed the Electric Car?,Chris Paine,Jessie Deeter,Sony Pictures,Thaddeus Wadleigh,Martin Sheen,Dave Barthmuss,Jim Boyd,Alec N Brooks,Alan Cocconi,Documentary,2006,2.0,1677838.0,1000000.0,1000000.0,,,,Male,,170518.0,1
Who Needs Sleep?,Haskell Wexler,Tamara Maloney,Perigo Productions ,Haskell Wexler,,,,,,Documentary,2006,3.0,,,,Native-born,North America (US),US,,,,0
Who the #$&% is Jackson Pollock?,Harry Moses,Harry Moses,Picturehouse,William Cassara,Teri Horton,Tod Michael Volpe,Ben Heller,Nick Carone,John Myatt,Documentary,2006,4.0,12571.0,,,,,,,,,0
Why Do Men Cheat?,Delano Glass,,Talking with York Entertainment,,Delano Glass,Carlton Dozier,Sabrina Arrington,Terri Sheppard,Billy Glass,Documentary,2006,,,,,,,,,,,0
Why We Fight,Eugene Jarecki,Susannah Shipman,Sony Pictures,Etienne Sauret,,,,,,Documentary,2006,1.0,1436279.0,500000.0,,Native-born,North America (US),US,Male,,,0
Wicked Little Things,J.S. Cardone,,After Dark Films,,Lori Heuring,Scout Taylor-Compton,Chloë Grace Moretz,Geoffrey Lewis,,Horror,2006,4.0,,,,Native-born,North America (US),US,,,,1
Winter Passing,Adam Rapp,Jennifer Dana,Focus Features,Terry Stacey,Zooey Deschanel,Ed Harris,Will Ferrell,Amelia Warner,Amy Madigan,Comedy,2006,1.0,106634.0,3500000.0,3500000.0,,,,,,6291.0,1
Woodenhead,Florian Habicht,Florian Habicht,Olive Films,Christopher Pryor,,,,,,Musical,2006,2.0,,,,Foreign-born,,New Zealand,Male,,,0
Wordplay,Patrick Creadon,Christine O'Malley,IFC Films,Patrick Creadon,Will Shortz,Indigo Girls,,,,Documentary,2006,2.0,3117666.0,1000000.0,500000.0,Native-born,North America (US),US,Male,,56366.0,0
Words of My Perfect Teacher,Lesley Ann Patten,Lesley Ann Patten,,,,,,,,Documentary,2006,4.0,,,,Native-born,North America (US),US,,,,0
World Trade Center,Oliver Stone,Michael Shamberg,Paramount Pictures,Seamus McGarvey,Nicolas Cage,Michael Peña,Maggie Gyllenhaal,Maria Bello,Stephen Dorff,Drama,2006,3.0,70236496.0,65000000.0,65000000.0,Native-born,North America (US),US,Male,Caucasian,93016761.0,1
Wrestling with Angels,Freida Lee Mock,Freida Lee Mock,Balcony Releasing,Terry Sanders,,,,,,Documentary,2006,4.0,24729.0,,,Native-born,North America (US),US,,,,0
X-Men: The Last Stand,Brett Ratner,Lauren Shuler Donner,20th Century Fox,Dante Spinotti,Hugh Jackman,Patrick Stewart,Halle Berry,Ian McKellen,Famke Janssen,Action,2006,2.0,234360014.0,168000000.0,210000000.0,Native-born,North America (US),US,,,224898484.0,1
Yippee: A Journey to Jewish Joy,Paul Mazursky,Paul Mazursky,,Bill Megalos,Paul Mazursky,David Miretsky,Shmulik Levy,Ezriel Tauber,,Documentary,2006,,,50000.0,,Native-born,North America (US),US,,,,0
Yo Soy Boricua Pa'que Tu Lo Sepas!,Rosie Perez,Liz Garbus,,Roger Sherman,Jimmy Smits,Luis Garden Acosta,"Vincente ""Panama"" Alba",Ricardo Alegria,Irene Cabrera,Documentary,2006,,,,,Native-born,North America (US),US,,,,0
You Stupid Man,Brian Burns,Alex Campbell,,David Herrington),William Baldwin,Denise Richards,Milla Jovovich,David Krumholtz,Jessica Cauffiel,Comedy,2006,,,,,Native-born,North America (US),US,,,,1
"You, Me and Dupree",Joe Russo,Owen Wilson,Universal,Charles Minsky,Owen Wilson,Kate Hudson,Matt Dillon,Michael Douglas,Amanda Detmer,Comedy,2006,3.0,75604320.0,54000000.0,54000000.0,Native-born,North America (US),US,Male,Caucasian,54600000.0,1
Zen Noir,Marc Rosenbush,Marc Rosenbush,Magic Lamp Releasing,Christopher Gosch,Duane Sharp,Kim Chan,Ezra Buzzington,Debra Miller,Jennifer Siebel,Drama,2006,3.0,,,,,,,,,,0
Zerophilia,Martin Curland,Jay Whitney Brown,MircoAngelo Entertainment,Graham Futerfas,Taylor Handley,Gina Bellman,Alison Folland,Marieh Delfino,Kyle Schmid,Comedy,2006,4.0,7013.0,450000.0,,,,,,,,0
Zoom,Peter Hewitt,Suzanne Todd,Sony Pictures,,Tim Allen,Courteney Cox,Chevy Chase,Spencer Breslin,Kate Mara,Comedy,2006,3.0,11631245.0,,,,,,,,,1
Zyzzyx Rd.,John Penney,Leo Grillo,Regent Releasing,David Klein,Leo Grillo,Katherine Heigl,Tom Sizemore,Rickey Medlocke,Yorlin Madera,Drama,2006,1.0,,,,Native-born,North America (US),US,,,,1
"1,2,3, Whiteout",James June Schneider,,,James June Schneider,Karine Adrover,Lou Castel,Michaela Stella Bagnoli,Edwige de l'Estrange,Renaud Martinez,Drama,2007,,,,,,,,,,,0
10 Questions for the Dalai Lama,Rick Ray,Rick Ray,Monterey Media,Rick Ray,,,,,,Documentary,2007,3.0,223517.0,,,,,,,,,0
100 Tears,Marcus Koch,Joe Davison,,Wesley Wing,Jack Amos,Georgia Chris,Joe Davison,Raine Brown,Rod Grant,Horror,2007,2.0,,,,Native-born,North America (US),US,,,,0
1000 Journals,Andrea Kreuzhage,Andrea Kreuzhage,,Ralph Kachele,,,,,,Documentary,2007,,,,,,,,,,,0
1408,Mikael Håfström,Lorenzo Di Bonaventura,MGM,Benoît Delhomme,John Cusack,Samuel L. Jackson,Jasmine Jessica Anthony,Chris Carey,Mary McCormack,Horror,2007,2.0,71975611.0,25000000.0,22500000.0,Foreign-born,Europe,Sweden,Male,Caucasian,59277742.0,1
28 Weeks Later,Juan Carlos Fresnadillo,Andrew Macdonald,20th Century Fox,Enrique Chediak,,,,,,Sci-Fi,2007,2.0,28637507.0,15000000.0,,Foreign-born,,,,,,0
3:10 to Yuma,James Mangold,Cathy Konrad,Lionsgate,Phedon Papamichael,Russell Crowe,Christian Bale,Alan Tudyk,Peter Fonda,Gretchen Mol,Western,2007,3.0,53574088.0,50000000.0,48000000.0,Native-born,North America (US),US,Male,Caucasian,17564909.0,1
30 Days of Night,David Slade,Sam Raimi,Sony Pictures,Jo Willems,Josh Hartnett,Melissa George,Danny Huston,Manu Bennett,Mark Boone Jr.,Horror,2007,4.0,39568996.0,30000000.0,30000000.0,Foreign-born,Europe,United Kingdom,Male,,40707160.0,1
300,Zack Snyder,Mark Canton,Warner Bros.,Larry Fong),Gerard Butler,Lena Headey,Michael Fassbender,Vincent Regan,Dominic West,Action,2007,1.0,210592590.0,64000000.0,60000000.0,Native-born,North America (US),US,Male,Caucasian,243546996.0,1
65 Revisited,D.A. Pennebaker,Frazer Pennebaker,Pennebaker Hegedus Films,Howard Alk,,,,,,Documentary,2007,4.0,,,,Native-born,North America (US),US,Male,Caucasian,,0
A Broken Sole,Antony Marsellis,Susan Charlotte,Shoemaker/Broken Sole Productions,Dan Karlok,Danny Aiello,Margaret Colin,Bob Dishy,Judith Light,John Shea,Drama,2007,4.0,,,,,,,,,,1
A Good Man is Hard to Find,Leslie Small,Jeff Clanagan,Cinedigm,Keith Smith,Golden Brooks,Darrin DeWitt Henson,Hill Harper,Deborah Cox,Melissa DeSousa,Drama,2007,4.0,,,,,,,Male,,,0
A Journey of Dmitry Shostakovich,Oksana Dvornichenko,Oksana Dvornichenko,Turnstyle TV,Juliy Olshvang,,,,,,Documentary,2007,1.0,,,,,,,,,,0
A Mighty Heart,Michael Winterbottom,Andrew Eaton,Paramount Pictures,Marcel Zyskind,Angelina Jolie,Dan Futterman,Irrfan Khan,Adnan Siddiqui,Alyy Khan,Drama,2007,2.0,9172810.0,16000000.0,15000000.0,Foreign-born,Europe,United Kingdom,Male,Caucasian,9976781.0,1
A Place in Time,Angelina Jolie,Holly Goline,National Education Association (NEA),Kent Harvey,,,,,,Documentary,2007,,,500000.0,,Native-born,North America (US),US,Female,Caucasian,,0
A Place to Dance,Alan Berg,Alan Berg,,Matt Franklin,Corliss Schmidt,Frank Alessi,Hector Penagos,Al Wehmeier,William Walsten,Documentary,2007,,,,,,,,,,,0
A Spiral State,Ramzi Abed,Ken Cravens,,,Lizzy Strain,Eric Fleming,Ramzi Abed,Ken Cravens,Don Purnell,Thriller,2007,,,,,Native-born,North America (US),US,,,,0
A Venetian Affair,Marco Ponti,Giancarlo Leone,MGM,,,,,,,Romance,2007,,,15000000.0,,Foreign-born,Europe,Italy,Male,,,0
A Walk into the Sea,Esther B Robinson,Tamra Raven,Arthouse Films,Adam Cohen,Brigid Berlin,Billy Name,Gerard Malanga,Paul Morrissey,John Cale,Documentary,2007,4.0,,,,Native-born,North America (US),US,,,,0
A West Texas Children's Story,Brad Isaacs,Ryan Howe,,Steve Mason,Cayden Boyd,AnnaSophia Robb,Lara Flynn Boyle,Val Kilmer,Matthew Modine,Drama,2007,,,,,,,,,,,1
Abduction,Chris Sheridan,Chris Sheridan,Safari Media,Chris Sheridan,Teruaki Masumoto,Sakie Yokota,Shigeru Yokota,,,Documentary,2007,1.0,,,,Foreign-born,,,,,,0
Across the Universe,Julie Taymor,Matthew Gross,Sony Pictures,Bruno Delbonnel,Evan Rachel Wood,T.V. Carpio,Dana Fuchs,Jim Sturgess,Eddie Izzard,Musical,2007,3.0,24343673.0,,45000000.0,Native-born,North America (US),US,Female,Caucasian,5023470.0,1
Adrift in Manhattan,Alfredo De Villa,Joshua Blum,Screen Media Ventures,John R Foster,Heather Graham,William Baldwin,Dominic Chianese,Victor Rasuk,Erika Michels,Drama,2007,3.0,,,,Foreign-born,,Mexican,,,,0
Afghan Knights,Allan Harmon,Fiona Duncanson,,Randal Platt,Michael Madsen,Francesco Quinn,Steve Bacic,Gary Stretch,Chris Kramer,Adventure,2007,,,,,Native-born,North America (US),US,,,,0
Agnes Martin: With My Back to the World,Mary Lance,Mary Lance,,Dyanna Taylor,,,,,,Documentary,2007,1.0,,,,,,,,,,0
Air Guitar Nation,Alexandra Lipsitz,Dan Cutforth,Shadow Distribution,Tony Sacco,David S Jung,"Dan ""Bjorn Turoque"" Crane",Aaron Semmel,,,Documentary,2007,1.0,71471.0,1000000.0,,Native-born,North America (US),US,,,,0
Alice Neel,Andrew Neel,Ethan Palmer,SeeThink Productions,Andrew Neel,Hartley Neel,Jeremy Lewison,Robert Storr,Juan Martinez,Cristina Lancella,Documentary,2007,2.0,,500000.0,,Native-born,North America (US),US,Male,Caucasian,,0
Aliens vs. Predator: Requiem,Greg Strause,John Davis,20th Century Fox,Daniel Pearl,Reiko Aylesworth,Steven Pasquale,Gina Holden,David Hornsby,Johnny Lewis,Sci-Fi,2007,4.0,41797066.0,50000000.0,,Native-born,North America (US),US,,,,0
All About Us,Christine Swanson,,,,Boris Kodjoe,Ryan Michelle Bathe,Ruby Dee,Raven Goodwin,,Drama,2007,,,,,Native-born,North America (US),US,,,,1
Alone with Her,Eric Nicholas,Tom Engelman,First Take (IFC),Nathan Wilson),Ana Claudia Talancon,Colin Hanks,Jordana Spiro,Alex Boling,Ashley McCarthy,Thriller,2007,1.0,10018.0,1000000.0,,Foreign-born,,,,,,0
Alpha Dog,Nick Cassavetes,Sidney Kimmel,Universal,Robert Fraisse),Justin Timberlake,Bruce Willis,Sharon Stone,Emile Hirsch,Dominique Swain,Crime,2007,1.0,15222770.0,10000000.0,,Native-born,North America (US),US,,,17204717.0,1
Altered,Eduardo Sanchez,Robin Cowie,,Steve Yedlin,Adam Kaufman,Catherine Mangan,Brad William Henke,Mike C Williams,Paul McCarthy-Boyington,Horror,2007,,,,,Foreign-born,Latin America,Cuba,Male,Latinx/Hispanic,,0
Alvin and the Chipmunks,Tim Hill,Janice Karman,20th Century Fox,Peter Collister),Jason Lee,Cameron Richardson,Jane Lynch,David Cross,Justin Long,Family,2007,4.0,217326336.0,60000000.0,55000000.0,Native-born,North America (US),US,,,145278059.0,1
American Cannibal: The Road to Reality,Perry Grebin,Perry Grebin,Lifesize,Perry Grebin,,,,,,Documentary,2007,1.0,16566.0,500000.0,,,,,,,,0
American Fusion,Frank Lin,John Dunn,Wildcat Releasing,Jason Inouye,Sylvia Chang,Esai Morales,Pat Morita,Collin Chou,James Hong,Romantic Comedy,2007,3.0,,,,,,,,,,0
